Names,Canonical SMILES,INCHIKEY,CAS number,Canonicalized Taste,Source,Canonicalized SMILES,Original Labels
Rebaudioside C,CC1C(C(C(C(O1)OC2C(C(C(OC2OC34CCC5C6(CCCC(C6CCC5(C3)CC4=C)(C)C(=O)OC7C(C(C(C(O7)CO)O)O)O)C)CO)O)OC8C(C(C(C(O8)CO)O)O)O)O)O)O,QSRAJVGDWKFOGU-WBXIDTKBSA-N,63550-99-2,bitter,tas2r_agonists,C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1OC1OC(C)C(O)C(O)C1O)C3,Ligand to Tas2 Receptor
Rubusoside,CC12CCCC(C1CCC34C2CCC(C3)(C(=C)C4)OC5C(C(C(C(O5)CO)O)O)O)(C)C(=O)OC6C(C(C(C(O6)CO)O)O)O,YWPVROCHNBYFTP-OSHKXICASA-N,64849-39-4,bitter,tas2r_agonists,C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(O)C1O)C3,Ligand to Tas2 Receptor
Skimmianine,COC1=C(C2=C(C=C1)C(=C3C=COC3=N2)OC)OC,SLSIBLKBHNKZTB-UHFFFAOYSA-N,83-95-4,bitter,tas2r_agonists,COc1ccc2c(OC)c3ccoc3nc2c1OC,Ligand to Tas2 Receptor
"Taurin, taurine",CC1C2CCC3(C(=O)CCC(=C3C2OC1=O)C)C,RSDQBPGKMDFRHH-MJVIGCOGSA-N,107-35-7,bitter,tas2r_agonists,CC1=C2C3OC(=O)C(C)C3CCC2(C)C(=O)CC1,Ligand to Tas2 Receptor
Dulcoside A,CC1C(C(C(C(O1)OC2C(C(C(OC2OC34CCC5C6(CCCC(C6CCC5(C3)CC4=C)(C)C(=O)OC7C(C(C(C(O7)CO)O)O)O)C)CO)O)O)O)O)O,CANAPGLEBDTCAF-NTIPNFSCSA-N,64432-06-0,bitter,tas2r_agonists,C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(O)C1OC1OC(C)C(O)C(O)C1O)C3,Ligand to Tas2 Receptor
Naringenin,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,FTVWIRXFELQLPI-UHFFFAOYSA-N,67604-48-2,bitter,tas2r_agonists,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,Ligand to Tas2 Receptor
Nomilin,CC(=O)OC1CC(=O)OC(C2C1(C3CCC4(C(OC(=O)C5C4(C3(C(=O)C2)C)O5)C6=COC=C6)C)C)(C)C,KPDOJFFZKAUIOE-WNGDLQANSA-N,1063-77-0,bitter,tas2r_agonists,CC(=O)OC1CC(=O)OC(C)(C)C2CC(=O)C3(C)C(CCC4(C)C(c5ccoc5)OC(=O)C5OC543)C12C,Ligand to Tas2 Receptor
Malvidin-3-glucoside,COC1=CC(=CC(=C1O)OC)C2=[O+]C3=CC(=CC(=C3C=C2OC4C(C(C(C(O4)CO)O)O)O)O)O,PXUQTDZNOHRWLI-OXUVVOBNSA-O,7228-78-6,bitter,tas2r_agonists,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2OC2OC(CO)C(O)C(O)C2O)cc(OC)c1O,Ligand to Tas2 Receptor
Tyr-Pro-Phe-Pro-Gly-Pro-Ile-His-Asn-Ser,CCC(C)C(C(=O)NC(CC1=CN=CN1)C(=O)NC(CC(=O)N)C(=O)NC(CO)C(=O)O)NC(=O)C2CCCN2C(=O)CNC(=O)C3CCCN3C(=O)C(CC4=CC=CC=C4)NC(=O)C5CCCN5C(=O)C(CC6=CC=C(C=C6)O)N,UTLIMBWJQYIFTF-BGTRFFRESA-N,922713-39-1,bitter,tas2r_agonists,CCC(C)C(NC(=O)C1CCCN1C(=O)CNC(=O)C1CCCN1C(=O)C(Cc1ccccc1)NC(=O)C1CCCN1C(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)O,Ligand to Tas2 Receptor
Nobiletin,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC,MRIAQLRQZPPODS-UHFFFAOYSA-N,478-01-3,bitter,tas2r_agonists,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1OC,Ligand to Tas2 Receptor
Pentagalloylglucose (PGG),C1=C(C=C(C(=C1O)O)O)C(=O)OCC2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C(=C5)O)O)O)OC(=O)C6=CC(=C(C(=C6)O)O)O,QJYNZEYHSMRWBK-NIKIMHBISA-N,14937-32-7,bitter,tas2r_agonists,O=C(OCC1OC(OC(=O)c2cc(O)c(O)c(O)c2)C(OC(=O)c2cc(O)c(O)c(O)c2)C(OC(=O)c2cc(O)c(O)c(O)c2)C1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,Ligand to Tas2 Receptor
Procyanidin trimer C2,C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=C(C(=CC(=C34)O)O)C5C(C(OC6=CC(=CC(=C56)O)O)C7=CC(=C(C=C7)O)O)O)C8=CC(=C(C=C8)O)O)O)O)O)C9=CC(=C(C=C9)O)O)O,MOJZMWJRUKIQGL-WNCKYJNFSA-N,37064-31-6,bitter,tas2r_agonists,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2c1c(O)cc(O)c2c1OC(c1ccc(O)c(O)c1)C(O)C2c1c(O)cc(O)c2c1OC(c1ccc(O)c(O)c1)C(O)C2,Ligand to Tas2 Receptor
Tangeretin,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC,ULSUXBXHSYSGDT-UHFFFAOYSA-N,481-53-8,bitter,tas2r_agonists,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1,Ligand to Tas2 Receptor
Tricetin,C1=C(C=C(C(=C1O)O)O)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,ARSRJFRKVXALTF-UHFFFAOYSA-N,520-31-0,bitter,tas2r_agonists,O=c1cc(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,Ligand to Tas2 Receptor
"2,2',4'-trihydroxychalcone",C1=CC=C(C(=C1)C(=O)C=CC2=C(C=C(C=C2)O)O)O,ZLEFYDUXMWKPSH-UHFFFAOYSA-N,26962-50-5,bitter,tas2r_agonists,O=C(C=Cc1ccc(O)cc1O)c1ccccc1O,Ligand to Tas2 Receptor
Apigenin,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,KZNIFHPLKGYRTM-UHFFFAOYSA-N,520-36-5,bitter,tas2r_agonists,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,Ligand to Tas2 Receptor
Biochanin A,COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O,WUADCCWRTIWANL-UHFFFAOYSA-N,491-80-5 ,bitter,tas2r_agonists,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,Ligand to Tas2 Receptor
(+)-catechin,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,PFTAWBLQPZVEMU-DZGCQCFKSA-N,154-23-4,bitter,tas2r_agonists,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,Ligand to Tas2 Receptor
Chrysin,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,RTIXKCRFFJGDFG-UHFFFAOYSA-N,480-40-0,bitter,tas2r_agonists,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,Ligand to Tas2 Receptor
Chrysoeriol,COC1=C(C=CC(=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,SCZVLDHREVKTSH-UHFFFAOYSA-N,491-71-4,bitter,tas2r_agonists,COc1cc(-c2cc(=O)c3c(O)cc(O)cc3o2)ccc1O,Ligand to Tas2 Receptor
Coumestrol,C1=CC2=C(C=C1O)OC3=C2C(=O)OC4=C3C=CC(=C4)O,ZZIALNLLNHEQPJ-UHFFFAOYSA-N,479-13-0,bitter,tas2r_agonists,O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12,Ligand to Tas2 Receptor
Cyanidin chloride,C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O)O.[Cl-],COAWNPJQKJEHPG-UHFFFAOYSA-N,528-58-5,bitter,tas2r_agonists,Oc1cc(O)c2cc(O)c(-c3ccc(O)c(O)c3)[o+]c2c1.[Cl-],Ligand to Tas2 Receptor
Cynaropicrin,C=C1CC(C2C(C3C1CC(C3=C)O)OC(=O)C2=C)OC(=O)C(=C)CO,KHSCYOFDKADJDJ-NQLMQOPMSA-N,35730-78-0,bitter,tas2r_agonists,C=C(CO)C(=O)OC1CC(=C)C2CC(O)C(=C)C2C2OC(=O)C(=C)C12,Ligand to Tas2 Receptor
Daidzein,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,ZQSIJRDFPHDXIC-UHFFFAOYSA-N,486-66-8,bitter,tas2r_agonists,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,Ligand to Tas2 Receptor
(-)-Epicatechin gallate; Ecg; Epicatechin gallate; ECG,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,LSHVYAFMTMFKBA-TZIWHRDSSA-N,1257-08-5,bitter,tas2r_agonists,O=C(OC1Cc2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1,Ligand to Tas2 Receptor
(-)-Epigallocatechin (EGC); Epigallocatechin; Gallocatechol,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O,XMOCLSLCDHWDHP-IUODEOHRSA-N,970-74-1 ,bitter,tas2r_agonists,Oc1cc(O)c2c(c1)OC(c1cc(O)c(O)c(O)c1)C(O)C2,Ligand to Tas2 Receptor
Fisetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,XHEFDIBZLJXQHF-UHFFFAOYSA-N,528-48-3,bitter,tas2r_agonists,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,Ligand to Tas2 Receptor
Flavanone,C1C(OC2=CC=CC=C2C1=O)C3=CC=CC=C3,ZONYXWQDUYMKFB-UHFFFAOYSA-N,487-26-3,bitter,tas2r_agonists,O=C1CC(c2ccccc2)Oc2ccccc21,Ligand to Tas2 Receptor
Flavone,C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2,VHBFFQKBGNRLFZ-UHFFFAOYSA-N,525-82-6,bitter,tas2r_agonists,O=c1cc(-c2ccccc2)oc2ccccc12,Ligand to Tas2 Receptor
Flavonol,C1=CC=C(C=C1)C2=C(C(=O)C3=CC=CC=C3O2)O,HVQAJTFOCKOKIN-UHFFFAOYSA-N,577-85-5,bitter,tas2r_agonists,O=c1c(O)c(-c2ccccc2)oc2ccccc12,Ligand to Tas2 Receptor
Formononetin,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,HKQYGTCOTHHOMP-UHFFFAOYSA-N,485-72-3,bitter,tas2r_agonists,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,Ligand to Tas2 Receptor
Genistin,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)OC4C(C(C(C(O4)CO)O)O)O)O,ZCOLJUOHXJRHDI-CMWLGVBASA-N,529-59-9,bitter,tas2r_agonists,O=c1c(-c2ccc(O)cc2)coc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12,Ligand to Tas2 Receptor
Glycitein,COC1=C(C=C2C(=C1)C(=O)C(=CO2)C3=CC=C(C=C3)O)O,DXYUAIFZCFRPTH-UHFFFAOYSA-N,40957-83-3,bitter,tas2r_agonists,COc1cc2c(=O)c(-c3ccc(O)cc3)coc2cc1O,Ligand to Tas2 Receptor
Glycitin,COC1=C(C=C2C(=C1)C(=O)C(=CO2)C3=CC=C(C=C3)O)OC4C(C(C(C(O4)CO)O)O)O,OZBAVEKZGSOMOJ-MIUGBVLSSA-N,40246-10-4,bitter,tas2r_agonists,COc1cc2c(=O)c(-c3ccc(O)cc3)coc2cc1OC1OC(CO)C(O)C(O)C1O,Ligand to Tas2 Receptor
Hesperetin; Hesperitin,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,AIONOLUJZLIMTK-AWEZNQCLSA-N,520-33-2,bitter,tas2r_agonists,COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O,Ligand to Tas2 Receptor
Homoeriodictyol,COC1=C(C=CC(=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,FTODBIPDTXRIGS-ZDUSSCGKSA-N,446-71-9,bitter,tas2r_agonists,COc1cc(C2CC(=O)c3c(O)cc(O)cc3O2)ccc1O,Ligand to Tas2 Receptor
4-hydroxychalcone,C1=CC=C(C=C1)C(=O)C=CC2=CC=C(C=C2)O,PWWCDTYUYPOAIU-DHZHZOJOSA-N,20426-12-4,bitter,tas2r_agonists,O=C(C=Cc1ccc(O)cc1)c1ccccc1,Ligand to Tas2 Receptor
Iso-Glu-Trp,CCC(C)C(C(=O)NC(CCC(=O)N)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)O)N,MVLDERGQICFFLL-ZQINRCPSSA-N,,bitter,tas2r_agonists,CCC(C)C(N)C(=O)NC(CCC(N)=O)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,Ligand to Tas2 Receptor
Iso-Phe,CCC(C)C(C(=O)NC(CC1=CC=CC=C1)C(=O)O)N,WMDZARSFSMZOQO-DRZSPHRISA-N,22951-98-0,bitter,tas2r_agonists,CCC(C)C(N)C(=O)NC(Cc1ccccc1)C(=O)O,Ligand to Tas2 Receptor
Isoflavone,C1=CC=C(C=C1)C2=COC3=CC=CC=C3C2=O,GOMNOOKGLZYEJT-UHFFFAOYSA-N,574-12-9,bitter,tas2r_agonists,O=c1c(-c2ccccc2)coc2ccccc12,Ligand to Tas2 Receptor
Isopimpinellin,COC1=C2C=COC2=C(C3=C1C=CC(=O)O3)OC,DFMAXQKDIGCMTL-UHFFFAOYSA-N,482-27-9,bitter,tas2r_agonists,COc1c2ccoc2c(OC)c2oc(=O)ccc12,Ligand to Tas2 Receptor
Kaempferol; Kaempherol,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,IYRMWMYZSQPJKC-UHFFFAOYSA-N,520-18-3,bitter,tas2r_agonists,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,Ligand to Tas2 Receptor
Luteolin,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,IQPNAANSBPBGFQ-UHFFFAOYSA-N,491-70-3 ,bitter,tas2r_agonists,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,Ligand to Tas2 Receptor
Pinocembrin,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3,URFCJEUYXNAHFI-ZDUSSCGKSA-N,480-39-7,bitter,tas2r_agonists,O=C1CC(c2ccccc2)Oc2cc(O)cc(O)c21,Ligand to Tas2 Receptor
Quercetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,REFJWTPEDVJJIY-UHFFFAOYSA-N,117-39-5,bitter,tas2r_agonists,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,Ligand to Tas2 Receptor
(+)-taxifolin; taxifoline; taxifolin,C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CXQWRCVTCMQVQX-LSDHHAIUSA-N,480-18-2,bitter,tas2r_agonists,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O,Ligand to Tas2 Receptor
Gly-Leu,CC(C)CC(C(=O)O)NC(=O)CN,DKEXFJVMVGETOO-LURJTMIESA-N,869-19-2,bitter,tas2r_agonists,CC(C)CC(NC(=O)CN)C(=O)O,Ligand to Tas2 Receptor
Gossypetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C(=C(C=C3O)O)O)O)O)O,YRRAGUMVDQQZIY-UHFFFAOYSA-N,489-35-0,bitter,tas2r_agonists,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2c(O)c(O)cc(O)c12,Ligand to Tas2 Receptor
Herbacetin,C1=CC(=CC=C1C2=C(C(=O)C3=C(O2)C(=C(C=C3O)O)O)O)O,ZDOTZEDNGNPOEW-UHFFFAOYSA-N,527-95-7,bitter,tas2r_agonists,O=c1c(O)c(-c2ccc(O)cc2)oc2c(O)c(O)cc(O)c12,Ligand to Tas2 Receptor
H.g.-12 (Hoodia Gordonii steroid glycoside),C/C=C(C)/C(=O)O[C@@H]6CC5C(C/C=C\4C[C@@H](OC3CC(OC)C(OC2CC(OC)C(OC1OC(C)C(O)C(OC)C1O)C(C)O2)C(C)O3)CC[C@@]45C)[C@@]7(O)CC[C@H](C(C)=O)[C@@]67C,CBMQKMMZBOSHHP-AYHBJYJESA-N,,bitter,tas2r_agonists,C/C=C(\C)C(=O)O[C@@H]1CC2C(CC=C3C[C@@H](OC4CC(OC)C(OC5CC(OC)C(OC6OC(C)C(O)C(OC)C6O)C(C)O5)C(C)O4)CC[C@@]32C)[C@@]2(O)CC[C@H](C(C)=O)[C@@]12C,Ligand to Tas2 Receptor
Isorhamnetin ,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,IZQSVPBOUDKVDZ-UHFFFAOYSA-N,480-19-3,bitter,tas2r_agonists,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,Ligand to Tas2 Receptor
Isoliquiritigenin,C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O,DXDRHHKMWQZJHT-FPYGCLRLSA-N,961-29-5,bitter,tas2r_agonists,O=C(C=Cc1ccc(O)cc1)c1ccc(O)cc1O,Ligand to Tas2 Receptor
Linamarin,CC(C)(C#N)OC1C(C(C(C(O1)CO)O)O)O,QLTCHMYAEJEXBT-ZEBDFXRSSA-N,554-35-8,bitter,tas2r_agonists,CC(C)(C#N)OC1OC(CO)C(O)C(O)C1O,Ligand to Tas2 Receptor
Liquiritigenin,C1C(OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O,FURUXTVZLHCCNA-AWEZNQCLSA-N,578-86-9,bitter,tas2r_agonists,O=C1CC(c2ccc(O)cc2)Oc2cc(O)ccc21,Ligand to Tas2 Receptor
Morin,C1=CC(=C(C=C1O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,YXOLAZRVSSWPPT-UHFFFAOYSA-N,480-16-0,bitter,tas2r_agonists,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,Ligand to Tas2 Receptor
Phloretin,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O,VGEREEWJJVICBM-UHFFFAOYSA-N,60-82-2,bitter,tas2r_agonists,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,Ligand to Tas2 Receptor
Prunasin,C1=CC=C(C=C1)C(C#N)OC2C(C(C(C(O2)CO)O)O)O,ZKSZEJFBGODIJW-GMDXDWKASA-N,99-18-3,bitter,tas2r_agonists,N#CC(OC1OC(CO)C(O)C(O)C1O)c1ccccc1,Ligand to Tas2 Receptor
Myricetin,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,IKMDFBPHZNJCSN-UHFFFAOYSA-N,529-44-2,bitter,tas2r_agonists,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,Ligand to Tas2 Receptor
"11β,13-dihydrolactucopicrin",CC1C2C(CC(=C3C(C2OC1=O)C(=CC3=O)CO)C)OC(=O)CC4=CC=C(C=C4)O,ICJJPTZLMALYBH-ZUQDHHQASA-N,125519-47-3,bitter,tas2r_agonists,CC1=C2C(=O)C=C(CO)C2C2OC(=O)C(C)C2C(OC(=O)Cc2ccc(O)cc2)C1,Ligand to Tas2 Receptor
Lactucin,CC1=C2C(C3C(C(C1)O)C(=C)C(=O)O3)C(=CC2=O)CO,VJQAFLAZRVKAKM-VZLIPTOUSA-N,1891-29-8,bitter,tas2r_agonists,C=C1C(=O)OC2C3C(CO)=CC(=O)C3=C(C)CC(O)C12,Ligand to Tas2 Receptor
"11β,13-dihydrolactucin",CC1C2C(CC(=C3C(C2OC1=O)C(=CC3=O)CO)C)O,ZHZZKRDEPZMPLJ-WLVQVHLUSA-N,,bitter,tas2r_agonists,CC1=C2C(=O)C=C(CO)C2C2OC(=O)C(C)C2C(O)C1,Ligand to Tas2 Receptor
Tributyrin,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,UYXTWWCETRIEDR-UHFFFAOYSA-N,60-01-5,bitter,tas2r_agonists,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,Ligand to Tas2 Receptor
Aristolochic acid,COC1=CC=CC2=C3C(=C(C=C21)[N+](=O)[O-])C(=CC4=C3OCO4)C(=O)O,BBFQZRXNYIEMAW-UHFFFAOYSA-N,313-67-7,bitter,tas2r_agonists,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,Ligand to Tas2 Receptor
Aloin,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2C4C(C(C(C(O4)CO)O)O)O)C=C(C=C3O)CO,AFHJQYHRLPMKHU-OSYMLPPYSA-N,452311-56-7,bitter,tas2r_agonists,O=C1c2c(O)cccc2C(C2OC(CO)C(O)C(O)C2O)c2cc(CO)cc(O)c21,Ligand to Tas2 Receptor
Andrographolide,CC12CCC(C(C1CCC(=C)C2CC=C3C(COC3=O)O)(C)CO)O,BOJKULTULYSRAS-OTESTREVSA-N,5508-58-7,bitter,tas2r_agonists,C=C1CCC2C(C)(CO)C(O)CCC2(C)C1CC=C1C(=O)OCC1O,Ligand to Tas2 Receptor
Androsterone,CC12CCC(CC1CCC3C2CCC4(C3CCC4=O)C)O,QGXBDMJGAMFCBF-HLUDHZFRSA-N,53-41-8,bitter,tas2r_agonists,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,Ligand to Tas2 Receptor
Arborescin ,CC1C2CCC3(C4(O3)CC=C(C4C2OC1=O)C)C,CBRKCJOSZHRKFH-UVGOUCATSA-N,6831-14-7,bitter,tas2r_agonists,CC1=CCC23OC2(C)CCC2C(C)C(=O)OC2C13,Ligand to Tas2 Receptor
Arglabin,CC1=CCC23C1C4C(CCC2(O3)C)C(=C)C(=O)O4,UVJYAKBJSGRTHA-CUZKYEQNSA-N,84692-91-1,bitter,tas2r_agonists,C=C1C(=O)OC2C1CCC1(C)OC13CC=C(C)C23,Ligand to Tas2 Receptor
Artemorin ,CC1=CC2C(CCC(=C)C(CC1)O)C(=C)C(=O)O2,JNHKVMWTQCZYHK-CVZWCJCVSA-N,64845-92-7,bitter,tas2r_agonists,C=C1CCC2C(=C)C(=O)OC2C=C(C)CCC1O,Ligand to Tas2 Receptor
Atropine,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,RKUNBYITZUJHSG-PJPHBNEVSA-N,51-55-8,bitter,tas2r_agonists,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,Ligand to Tas2 Receptor
Berberine; Berberine chloride,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,YBHILYKTIRIUTE-UHFFFAOYSA-N,633-65-8,bitter,tas2r_agonists,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,Ligand to Tas2 Receptor
Brucine,COC1=C(C=C2C(=C1)C34CCN5C3CC6C7C4N2C(=O)CC7OCC=C6C5)OC,RRKTZKIUPZVBMF-IBTVXLQLSA-N,357-57-3,bitter,tas2r_agonists,COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43,Ligand to Tas2 Receptor
Camphor,CC1(C2CCC1(C(=O)C2)C)C,DSSYKIVIOFKYAU-UHFFFAOYSA-N,76-22-2,bitter,tas2r_agonists,CC12CCC(CC1=O)C2(C)C,Ligand to Tas2 Receptor
Cascarillin,CC1C(CC2(C(C1(CC(C3=COC=C3)O)C=O)CCC(C2(C)O)O)C)OC(=O)C,ZOWKQQIGQBVKSV-BZLLESMPSA-N,10118-56-6,bitter,tas2r_agonists,CC(=O)OC1CC2(C)C(CCC(O)C2(C)O)C(C=O)(CC(O)c2ccoc2)C1C,Ligand to Tas2 Receptor
Chloramphenicol,C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],WIIZWVCIJKGZOK-RKDXNWHRSA-N,56-75-7,bitter,tas2r_agonists,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,Ligand to Tas2 Receptor
Cnicin ,CC1=CCCC(=CC2C(C(C1)OC(=O)C(=C)C(CO)O)C(=C)C(=O)O2)CO,ZTDFZLVUIVPZDU-QGNHJMHWSA-N,24394-09-0,bitter,tas2r_agonists,C=C(C(=O)OC1CC(C)=CCCC(CO)=CC2OC(=O)C(=C)C21)C(O)CO,Ligand to Tas2 Receptor
Colchicine,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,IAKHMKGGTNLKSZ-INIZCTEOSA-N,64-86-8,bitter,tas2r_agonists,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,Ligand to Tas2 Receptor
Costunolide,CC1=CCCC(=CC2C(CC1)C(=C)C(=O)O2)C,HRYLQFBHBWLLLL-AHNJNIBGSA-N,553-21-9,bitter,tas2r_agonists,C=C1C(=O)OC2C=C(C)CCC=C(C)CCC12,Ligand to Tas2 Receptor
Creatinin; Creatinine,CN1CC(=O)N=C1N,DDRJAANPRJIHGJ-UHFFFAOYSA-N,60-27-5 ,bitter,tas2r_agonists,CN1CC(=O)N=C1N,Ligand to Tas2 Receptor
Crispolide,CC12CCC(C(=CCC3C(C1O)OC(=O)C3=C)C2)OO,JXXWNBNYEWOORY-KHTYUQOESA-N,83217-86-1,bitter,tas2r_agonists,C=C1C(=O)OC2C1CC=C1CC(C)(CCC1OO)C2O,Ligand to Tas2 Receptor
Erythromycin,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,ULGZDMOVFRHVEP-RWJQBGPGSA-N,114-07-8,bitter,tas2r_agonists,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,Ligand to Tas2 Receptor
