Canonicalized SMILES,Canonicalized Taste,Original Labels,Source,PubChemID,InChI,INCHIKEY
CC1=CC(=O)C2CC1C2(C)C,undefined,"celery, menthol, camphor",flavor_db,65724,,
Cl.OC(c1ccccc1)(c1ccccc1)C1CCCCN1,bitter,bitter,flavor_db,66008,,
CCCCC(=O)c1ccccc1,undefined,"balsam, valerian",flavor_db,66093,,
CNC(C)Cc1ccccc1.Cl,bitter,bitter,flavor_db,66124,,
Cc1ccc(N(CC2=NCCN2)c2ccc(O)cc2)cc1.Cl,bitter,bitter,flavor_db,66147,,
CC1(c2ccccc2)C(=O)NC(=O)NC1=O,bitter,bitter,flavor_db,66160,,
C=CCSC,undefined,"garlic, onion, alliaceous",flavor_db,66282,,
O.OCC1OC(O)C(O)C(O)C1O,sweet,sweet,flavor_db,66370,,
CCOc1ccc2c(C)cc(=O)oc2c1,undefined,"nutty, walnut",flavor_db,66595,,
COc1cc(O)c(C(C)=O)c(OC)c1,undefined,"camphor, borneol",flavor_db,66654,,
CCCCCCCCOC(=O)c1ccccc1,undefined,"fruity, balsam",flavor_db,66751,,
Cc1c([N+](=O)[O-])cc2c(c1[N+](=O)[O-])C(C)(C)CC2(C)C,undefined,musky,flavor_db,67005,,
O=C1C(=Cc2ccc(O)c(O)c2)Oc2cc(O)ccc21,bitter,bitter,flavor_db,67111,,
CCOc1ccc(C=O)cc1OC,sweet,"floral, sweet, vanilla",flavor_db,67116,,
O=C(O)c1cc(Cc2ccc(O)c(C(=O)O)c2)ccc1O,bitter,bitter,flavor_db,67145,,
C=CC(C)(O)CCC=C(C)C,sweet,"floral, sweet, lavender, petitgrain",flavor_db,67179,,
CCCCC(=O)OCCC,undefined,"pineapple, ethereal, animal, fruity, metallic",flavor_db,67328,,
Cc1c(C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c1C,undefined,musky,flavor_db,67350,,
N=C(N)c1ccc(OCCCOc2ccc(C(=N)N)cc2)cc1.O=S(=O)(O)CCO.O=S(=O)(O)CCO,bitter,bitter,flavor_db,67413,,
C1SSCSSS1,undefined,mushroom,flavor_db,67521,,
CC(C)=CCC1=C(O)C(CC=C(C)C)(CC=C(C)C)C(=O)C(C(=O)CC(C)C)=C1O,bitter,bitter,flavor_db,68051,,
COC(=O)c1c(C)cc(OC(=O)c2c(C)cc(O)c(C=O)c2O)c(C)c1O,bitter,bitter,flavor_db,68066,,
O=C1CC(c2ccccc2)Oc2cc(O)cc(O)c21,bitter,bitter,flavor_db,68071,,
COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1,bitter,bitter,flavor_db,68077,,
O=c1cc(-c2ccccc2)oc2cccc(O)c12,bitter,bitter,flavor_db,68112,,
C=CCc1ccc(O)cc1,undefined,"phenol, medicine, medicinal, phenolic",flavor_db,68148,,
CC(=O)N(C)N(C(=O)C(=O)N(C)C)c1ccccc1,bitter,bitter,flavor_db,68214,,
c1ccc(N=NC(=NNc2ccccc2)c2ccccc2)cc1,sweet,sweet-like,flavor_db,68274,,
CC(C)=CCCc1ccoc1,undefined,"wood, woody",flavor_db,68316,,
C=CC(C)(C)C(=O)C=C(C)C,undefined,"mint, berry, herbal, honey, herb, green",flavor_db,68346,,
C=CCC1(C(C)(C)CC)C(=O)NC(=O)NC1=O,bitter,bitter,flavor_db,68415,,
COc1ccc2c(c1OC)C(=O)OC2,bitter,bitter,flavor_db,68437,,
COc1ccccc1C(C)=O,undefined,"anisic, almond, powdery, phenolic",flavor_db,68481,,
O=C(Nc1ccccc1C(=O)O)c1ccccc1,undefined,fruity,flavor_db,68482,,
CC1CCCC(C)N1,bitter,bitter,flavor_db,68843,,
CC(C)CN=C=S,undefined,green,flavor_db,68960,,
CCCc1ccccn1,undefined,"tobacco, roasted, fatty, nutty, green",flavor_db,69320,,
CCCCCCCOC(=O)CCCCCC,undefined,"grassy, green",flavor_db,69350,,
COC(=O)CCC(C)=O,undefined,caramellic,flavor_db,69354,,
CCCCCN=C=S,undefined,green,flavor_db,69415,,
CC(O)C(N)C(=O)O,sweet,sweet,flavor_db,69435,,
COc1ccc(C=O)c(O)c1,undefined,vanillin,flavor_db,69600,,
CN(C)C=S,bitter,bitter,flavor_db,69794,,
C=CCCCCO,undefined,green,flavor_db,69963,,
COC1=CCCCC1,undefined,"spice, herb",flavor_db,70264,,
CC1CCC(C(C)C)C(=O)C1,undefined,minty,flavor_db,70962,,
NC(CO)C(=O)O,sweet,sweet,flavor_db,71077,,
CC(N)C(=O)O,sweet,sweet,flavor_db,71080,,
NC(Cc1cnc[nH]1)C(=O)O,sweet,sweet,flavor_db,71083,,
NC(Cc1ccc(O)cc1)C(=O)O,sweet,sweet,flavor_db,71098,,
CCN(CC)C(=O)CSc1ccc(Cl)nn1,bitter,bitter,flavor_db,71105,,
CCCC(CCC)C(N)=O,bitter,bitter,flavor_db,71113,,
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1.Cl,bitter,bitter,flavor_db,71412,,
CCC(NC)c1ccccc1OC.Cl,bitter,bitter,flavor_db,71471,,
CCCC1CC(C(=O)NC(C(C)O)C2OC(SC)C(O)C(O)C2O)N(C)C1.Cl.O,bitter,bitter,flavor_db,71476,,
OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1Cl,sweet,sweet,flavor_db,71485,,
CCOc1ccc2nccc(C(O)C3CC4CCN3CC4CC)c2c1,bitter,bitter,flavor_db,71542,,
CC(C)COC(Cc1ccccc1)OCC(C)C,sweet,"cortex, rose, floral, sweet, almond, green",flavor_db,71544,,
NC(Cc1ccccc1)C(=O)O,sweet,sweet,flavor_db,71567,,
CCC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2.Cl,bitter,bitter,flavor_db,71802,,
CC12CCC(C(S(=O)(=O)[O-])C1=O)C2(C)C.CCN(CC)C(=O)c1ccc[n+](C)c1,bitter,bitter,flavor_db,71830,,
Nc1nc(N)c2ncn(C3OC(CO)C(O)C3O)c2n1,sweet,sweet-like,flavor_db,72200,,
Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,bitter,bitter,flavor_db,72276,,
Oc1cc(O)c2c(c1)OC(c1cc(O)c(O)c(O)c1)C(O)C2,bitter,bitter,flavor_db,72277,,
COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O,bitter,bitter,flavor_db,72281,,
O=c1c(-c2ccccc2)coc2ccccc12,bitter,bitter,flavor_db,72304,,
CC(=O)OC1CC(=O)OC(C)(C)C2CC(=O)C3(C)C(CCC4(C)C(c5ccoc5)OC(=O)C5OC543)C12C,bitter,bitter,flavor_db,72320,,
COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1OC,bitter,bitter,flavor_db,72344,,
CC(C)=CCC1=C(O)C(O)(CC=C(C)C)C(=O)C(C(=O)CC(C)C)=C1O,bitter,bitter,flavor_db,72625,,
COC1=CC(C)C2CC3OC(O)CC4C(C)=C(OC)C(=O)C(C2(C)C1=O)C34C,bitter,bitter,flavor_db,72964,,
CCOC(CN1CCN(CC(C)C(=O)c2ccccc2)CC1)c1ccccc1.Cl.Cl,bitter,bitter,flavor_db,73356,,
COc1ccc(C2CC(=O)c3c(O)cc(OC4OC(CO)C(O)C(O)C4OC4OC(C)C(O)C(O)C4O)cc3O2)cc1O,sweet,sweet-like,flavor_db,73395,,
O=C1CCCC2C3CC(CN12)C1CC(O)CCN1C3,bitter,bitter,flavor_db,73404,,
COc1cc2c3cc1OCc1c(O)c(OC)cc4c1C(Cc1ccc(cc1)Oc1cc(ccc1O)CC3N(C)CC2)N(C)CC4,bitter,bitter,flavor_db,73415,,
COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C2C(C)CC(=O)C12,bitter,bitter,flavor_db,73467,,
COc1cc(C2CC(=O)c3c(O)cc(O)cc3O2)ccc1O,bitter,bitter,flavor_db,73635,,
Nc1nc(N)c2ncn(C3OC(CO)C(O)C3O)c2n1,sweet,sweet-like,flavor_db,73661,,
Nc1nc(N)c2ncn(C3OC(CO)C(O)C3O)c2n1,sweet,sweet-like,flavor_db,73662,,
CSC(C)=O,undefined,"sulfurous, cabbage, vegetable, egg, dairy, cheese",flavor_db,73750,,
[Mg+2].[OH-].[OH-],undefined,odorless,flavor_db,73981,,
CCCCCOC(=O)c1ccco1,undefined,"mild, herbal, fennel, oily, fruity",flavor_db,74008,,
COc1ccc(NC(N)=O)cc1,sweet,sweet-like,flavor_db,74066,,
C=CCCCOC(C)=O,undefined,"vegetable, metallic, meat, green, acrylate, weedy, sulfide, cooked, plastic",flavor_db,74096,,
C=CCCC(=O)OCC,undefined,"caramel, warm, herbal, fruity, green",flavor_db,74786,,
CCCCC(=O)OCCC(C)C,undefined,"apple, ripe",flavor_db,74901,,
CC(=O)OCc1ccc(C)cc1,sweet,"herbal, floral, sweet, fruity, green",flavor_db,75187,,
CC(C)N=C=S,undefined,"mustard, pungent",flavor_db,75263,,
CCCCCCCCCC(=O)OCCC(C)C,sweet,"banana, waxy, sweet, fruity, cognac, green",flavor_db,75320,,
CC(C)=CCCC(C)CC=O,undefined,"citrus, herbal, fresh",flavor_db,75427,,
CCCCCC(=O)SC,undefined,"ethereal, tropical, fruity, green",flavor_db,75515,,
C=CCSSSSCC=C,undefined,"strong, garlic, onion",flavor_db,75552,,
Cc1sccc1S,undefined,"medicine, medicinal",flavor_db,75664,,
CSc1nccnc1C,undefined,"roasted, vegetable, meat, nutty, almond",flavor_db,76152,,
O=CC(O)C(O)C(O)C(O)C(O)CO,sweet,sweet,flavor_db,76599,,
COC1OC(CO)C(O)C(O)C1O,sweet,sweet,flavor_db,76607,,
CC(C)CC(NC(=O)C(N)Cc1ccccc1)C(=O)O,bitter,bitter,flavor_db,76808,,
C=CCCN=C=S,undefined,"pungent, aromatic",flavor_db,76922,,
COC1OC(CO)C(O)C(O)C1O,sweet,sweet,flavor_db,76935,,
CCSSSCC,undefined,"garlic, onion, sulfurous",flavor_db,77151,,
O=CCS,undefined,cabbage,flavor_db,77775,,
Cc1cnc(C)s1,undefined,"nutty, roasted",flavor_db,77837,,
C=Cc1cnccn1,undefined,nutty,flavor_db,77840,,
CC(C)SSC(C)C,undefined,"cabbage, sulfurous, onion, alliaceous, meaty",flavor_db,77932,,
CCCCCCN=C=S,undefined,"sharp, green",flavor_db,78120,,
SCCc1ccccc1,undefined,rubber,flavor_db,78126,,
CSCCCCN=C=S,undefined,"cabbage, radish",flavor_db,78160,,
CCOC(=O)CSC,undefined,"citrus, apricot, wine_like, vegetable, fatty, floral, earthy, woody, fruity, herbaceous, nutty, meaty, spicy, green",flavor_db,78199,,
CCCCCCOC,sweet,"painty, herbal, sweet, fruity, lavender",flavor_db,78484,,
C=C(C)CCOC(C)=O,undefined,fruity,flavor_db,78879,,
CSCCO,undefined,"sulfurous, meaty",flavor_db,78925,,
CC1=C(O)C(=O)C(C(C)C)CC1,undefined,"leaves, minty, buchu, blackcurrant",flavor_db,79023,,
OCC1OC(O)C(O)C(O)C1O,sweet,sweet,flavor_db,79025,,
OC1C2COC(O2)C(O)C1O,sweet,sweet,flavor_db,79029,,
CC(C)CCN=C=S,undefined,green,flavor_db,79086,,
CCCC(=O)c1cccs1,undefined,"roast, grilled, beef",flavor_db,79248,,
C=CCCCCCCCCC(=O)OCC(C)C,undefined,"fatty, fruity",flavor_db,79457,,
COc1ccc(-c2cc(=O)c3c(OC)cc(OC)cc3o2)cc1,bitter,bitter,flavor_db,79730,,
C1=NCCC1,undefined,"shrimp, ammoniacal",flavor_db,79803,,
CSSSSC,undefined,"sulfur, garlic, cabbage, meaty",flavor_db,79828,,
O=Cc1cccc2cccc(C(=O)O)c12,bitter,bitter,flavor_db,79881,,
CCc1ccc(OC)c(OC)c1,undefined,"musty, earthy",flavor_db,79990,,
CSC(=O)c1ccccc1,undefined,"cabbage, sulfurous, garlic, potato, vegetable",flavor_db,80024,,
CC(C)SSSC(C)C,undefined,"garlic, sulfury",flavor_db,80046,,
O=CC(O)C(O)C(O)C(O)CO,sweet,sweet,flavor_db,80127,,
O=[N+]([O-])CCc1ccccc1,undefined,"spice, flower",flavor_db,80208,,
CCCCCCCCCCCCOC(=O)CC,undefined,fruity,flavor_db,80354,,
SCc1cccs1,undefined,"sulfur, roast, coffee, fishy",flavor_db,80408,,
CCOCc1ccco1,sweet,"sweet, spicy",flavor_db,80455,,
CCOC(Cc1ccccc1)OCC,sweet,"fresh, sweet, bluebell, almond, lime blossom, green",flavor_db,80584,,
C=CCOC(=O)CCCC,undefined,pineapple,flavor_db,80606,,
COc1cc(C(C)C)ccc1C,undefined,"leafy, herbal, spicy",flavor_db,80790,,
CCCCCCCCC(=O)OCCCCCC,undefined,"fruity, vegetable, brandy, green",flavor_db,81045,,
COc1ccc(C)cc1C,undefined,"herbal, spicy",flavor_db,81221,,
O=CC(O)C(O)C(O)C(O)C(=O)O,sweet,sweet,flavor_db,81264,,
OCC1OC(O)C(O)C(O)C1O,sweet,sweet,flavor_db,81696,,
CCCCC(=O)OCCc1ccccc1,undefined,"rose, fruity, leaf",flavor_db,81964,,
[Br-].[Li+],bitter,bitter,flavor_db,82050,,
OCC(O)C(O)C(O)C(O)CO,sweet,sweet,flavor_db,82170,,
Sc1ccsc1,undefined,"garlic, cooked, meat, cooked meat",flavor_db,82202,,
CC12CCC(C1)C(C)(C)C2=O,undefined,"earthy, woody, herbal, camphor",flavor_db,82229,,
[Br-].[Br-].[Mg+2],bitter,bitter,flavor_db,82241,,
O=CC(O)C(O)C(O)C(O)CO,sweet,sweet,flavor_db,82308,,
COC(=O)c1ccccc1N(C)C,undefined,"orange, fruity, leaf",flavor_db,82336,,
COC1C(CO)OC(n2cnc3c(N)ncnc32)C1O,sweet,sweet-like,flavor_db,82530,,
CCCCCCCCCC(=O)OCCCCCC,undefined,"fresh, green",flavor_db,82635,,
CC(C)CCOC(C)OCCC(C)C,undefined,"alcoholic, fermented, ethereal, fruity, green",flavor_db,83036,,
CC(=O)OC1OC(CO)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,sweet,sweet,flavor_db,83136,,
COC1C(O)C(O)OC(CO)C1O,sweet,sweet,flavor_db,83246,,
CC1OC(OCC2OC(Oc3cc(O)c4c(c3)OC(c3ccc(O)c(O)c3)CC4=O)C(O)C(O)C2O)C(O)C(O)C1O,sweet,sweet-like,flavor_db,83489,,
CC(=O)c1sccc1C,undefined,"cananga, floral, wintergreen, almond, phenolic",flavor_db,83653,,
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,sweet,sweet-like,flavor_db,83862,,
NC(CC(=O)O)C(=O)O,sweet,sweet,flavor_db,83887,,
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O,bitter,bitter,flavor_db,84029,,
COC1OC(CO)C(O)C(OC)C1OC,sweet,sweet,flavor_db,84170,,
CSSc1ccccc1,undefined,"turnup, pungent, radish",flavor_db,84234,,
CC1C(=O)CC2CC1C2(C)C,undefined,"camphoreous, cedar",flavor_db,84532,,
CCCCCCCCCCCC(OC)OC,undefined,"mild, herbal, waxy, fresh, orchid, green",flavor_db,84559,,
O=S(=O)([O-])[O-].[Fe+2].c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12,bitter,bitter,flavor_db,84567,,
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,sweet,sweet,flavor_db,84571,,
COC1OC(C)C(O)C(O)C1O,sweet,sweet,flavor_db,84695,,
O=CC(O)C(O)C(O)C(O)C(=O)O,sweet,sweet,flavor_db,84740,,
CSCCC(N)C(=O)O,sweet,sweet,flavor_db,84815,,
CC(C)=CCc1occc1C,undefined,"mint, minty, caramel, green",flavor_db,84825,,
O=CC(O)C(O)C(O)C(O)CO,sweet,sweet,flavor_db,84996,,
CCc1nccs1,undefined,"nutty, green",flavor_db,85053,,
CCc1cnc(CC)s1,undefined,"musty, nutty, meaty",flavor_db,85073,,
O=CC(O)C(O)C(O)C(O)C(=O)O,sweet,sweet,flavor_db,85090,,
CCCc1nccnc1C,undefined,nutty,flavor_db,85224,,
Nc1ncnc2c1ncn2C1OC(COP(=O)([O-])OP(=O)([O-])O)C(O)C1O.[Na+].[Na+],sweet,sweet-like,flavor_db,85315,,
CSCCCOC(C)=O,undefined,"fatty, ester",flavor_db,85519,,
CCCC(=O)OCCCSC,undefined,"cabbage, sulfurous",flavor_db,85520,,
CCOC(CCSC)OCC,undefined,"cabbage, pungent",flavor_db,85521,,
COC(=O)CSC,undefined,"roasted, nut, potato, fruity, tropical, cooked potato, roasted nut, cooked",flavor_db,85522,,
CC(C)(c1c(Cl)c(Cl)c(O)c(Cl)c1Cl)c1c(Cl)c(Cl)c(O)c(Cl)c1Cl,undefined,"oily, butter, fatty",flavor_db,85536,,
CC1OC(OCC2OC(Oc3cc(O)c4c(c3)OC(c3ccc(O)cc3)CC4=O)C(O)C(O)C2O)C(O)C(O)C1O,undefined,bland,flavor_db,85704,,
CC1=CC(=O)C(C)O1,undefined,"caramel, ester, fruity",flavor_db,85730,,
CCCCC(=O)OC(C)(C)C1CC=C(C)CC1,undefined,"floral, fruity",flavor_db,85741,,
OCCCC(O)CO,sweet,sweet,flavor_db,85763,,
Cl.NC(N)=NCCCC(N)C(=O)O,undefined,odorless,flavor_db,85880,,
OCC1OC2OC3C(CO)OC(OC4C(CO)OC(OC5C(CO)OC(OC6C(CO)OC(OC7C(CO)OC(OC8C(CO)OC(OC9C(CO)OC(OC1C(O)C2O)C(O)C9O)C(O)C8O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O,undefined,odorless,flavor_db,86575,,
CC(C)=CCC=C(C)C1CC=C(C)CC1,undefined,"spicy, balsamic",flavor_db,86597,,
CC1=CCC23C(C)CCC(C(C)C)C2C13,undefined,"wax, herbal, waxy, herb",flavor_db,86609,,
CC(C)CC1OCC(C)O1,sweet,"sour, ethereal, ripe, sweet, tropical, fruity, dairy, buttery, rummy",flavor_db,86733,,
CC(C)CC1OCC(C)O1,sour,"sour, ethereal, ripe, sweet, tropical, fruity, dairy, buttery, rummy",flavor_db,86733,,
CC(C)CC1OCC(C)O1,sweet,"sour, ethereal, ripe, sweet, tropical, fruity, dairy, buttery, rummy",flavor_db,86733,,
CC(C)CC1OCC(C)O1,sour,"sour, ethereal, ripe, sweet, tropical, fruity, dairy, buttery, rummy",flavor_db,86733,,
C=CC(C)(O)CCCC(C)C,undefined,"wood, citrus, woody, camphor",flavor_db,86748,,
CC1CC=C(C(C)(C)O)CC1,undefined,"metal, ginger",flavor_db,86752,,
CC1=CCC(C(C)CO)CC1,undefined,"fruit, herbal, fruity, herb",flavor_db,86753,,
CC(C=O)CC1=CCC(C(C)C)CC1,undefined,"herbal, spicy",flavor_db,86818,,
C=CCCCN=C=S,undefined,"horseradish, mustard",flavor_db,87436,,
CCCc1cnccn1,undefined,"nutty, vegetable, green",flavor_db,87466,,
CCCc1nc(C)cnc1C,undefined,hazelnut,flavor_db,87637,,
CC1(C)OCC2(OCC(O)C(O)C2O)O1,sweet,sweet,flavor_db,87724,,
CCCCCCc1cccs1,undefined,"floral, gassy, fruity, meaty, green",flavor_db,87793,,
CCCCCCCCC(OC)OC,undefined,"citrus, fresh, floral, plastic, green",flavor_db,87813,,
CC(=O)OC(C)CCC=C(C)C,undefined,fruity,flavor_db,87947,,
NC1CCCCC1.O=S(=O)(O)O,sweet,sweet,flavor_db,88275,,
CN(C)CCC[N+]1([O-])c2ccccc2CCc2ccccc21.Cl,bitter,bitter,flavor_db,88286,,
CC(=O)CC(C)(C)S,undefined,"box tree, sulfurous, blackcurrant, cat-urine, meaty",flavor_db,88290,,
CCCCCCOC(=O)CC,undefined,"musty, fruit, fruity, melon, pear, rotting, green",flavor_db,88454,,
CC(C)=CCN=C(N)N.O=S(=O)(O)O,bitter,bitter,flavor_db,88460,,
OCC1OC(OC2C(O)OC(CO)C(O)C2O)C(O)C(O)C1O,sweet,sweet,flavor_db,88719,,
OCC(O)C(O)C(O)C(O)COC1OC(CO)C(O)C(O)C1O,sweet,"odorless, sweet",flavor_db,88735,,
COc1cc(OC)c2c(=O)cc(-c3ccccc3)oc2c1,bitter,bitter,flavor_db,88881,,
CCC(=O)OC1CC2CCC1(C)C2(C)C,undefined,"turpentine, fruit, woody, pungent, lavender, pine, camphor",flavor_db,89306,,
CCCCCC(CC)OC(=O)CCC,undefined,"citrus, herbal, musty, fruity, green",flavor_db,89307,,
C=CC1(C)CCC(C(C)C)=CC1C(=C)C,undefined,"wood, woody",flavor_db,89316,,
COc1cc2c(cc1O)C(Cc1ccc(OC)c(OC)c1)N(C)CC2,bitter,bitter,flavor_db,89421,,
CC(=O)c1cc2c(cc1C)C(C)(C)C(C)CC2(C)C,undefined,musky,flavor_db,89440,,
CCCCCC1C=CC(=O)O1,undefined,"minty, fruity",flavor_db,89559,,
C=CC(O)CCCCCC,undefined,"oily, earthy, creamy, intensely, mushroom, green",flavor_db,89560,,
CN1CCCC1c1cccnc1,bitter,bitter,flavor_db,89594,,
COC(=O)C(Cc1ccccc1)NC(=O)CC(N)C(=O)O,sweet,sweet,flavor_db,89862,,
O=C(CO)C(O)C(O)C(O)CO,sweet,sweet,flavor_db,90008,,
O=CC(O)C(O)C(O)C(O)CO,sweet,sweet,flavor_db,90173,,
CSC(=O)CC(C)C,undefined,"fermented, tomato, sulfury, sharp, ripe, acrid, mushroom, cheese",flavor_db,90246,,
C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,bitter,bitter,flavor_db,90454,,
OCC(O)C(O)C(O)C(O)CO,sweet,sweet,flavor_db,90540,,
CC1=C2CCC(C)C2CC(C(C)(C)O)CC1,undefined,"spicy, spice",flavor_db,90785,,
CCOC(=O)C(C)SSC,undefined,"fruity, sulfury",flavor_db,90972,,
CC1(S)CCC2CC1C2(C)C,undefined,"sulfurous, grapefruit",flavor_db,90984,,
C=C1CCC2C(C3C(C)CCC13)C2(C)C,undefined,"wood, woody",flavor_db,91354,,
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12.Cl.Cl,bitter,bitter,flavor_db,91429,,
C=C1CCCC2(C)CCC(C(C)(C)O)CC12,undefined,"wood, green",flavor_db,91457,,
OCC1CCCN2CCCCC12,bitter,bitter,flavor_db,91461,,
Oc1ccc(C2COc3cc(O)ccc3C2)cc1,bitter,bitter,flavor_db,91469,,
OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,sweet,sweet,flavor_db,91476,,
C=C(C)C1CCC2(C)OC2C1,undefined,fruit,flavor_db,91496,,
Cl.Cl.OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,bitter,bitter,flavor_db,91513,,
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)CP(=O)(O)O)C(O)C1O,sweet,sweet-like,flavor_db,91532,,
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)CP(=O)(O)OP(=O)(O)O)C(O)C1O,sweet,sweet-like,flavor_db,91557,,
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12.Cl,bitter,bitter,flavor_db,91558,,
COC1OC(CO)C(O)C(O)C1O,sweet,sweet,flavor_db,91576,,
C=CCOC1=NS(=O)(=O)c2ccccc21,sweet,sweet,flavor_db,91587,,
CC(C)CCOCCc1ccccc1,undefined,"leafy, fresh, cool, hyacinth, metallic, spring, green",flavor_db,91978,,
O=C(CO)C(O)C(O)C(O)CO,sweet,sweet,flavor_db,92092,,
CC1=C2C(CC1)C(C)CCC1C2C1(C)C,undefined,"balsam, wood, balsamic",flavor_db,92116,,
C=CC1(C)CCC(C(C)(C)O)CC1C(=C)C,sweet,"sweet, wood, woody, green",flavor_db,92138,,
CC(C)=CCCC(C)c1ccc(C)cc1,undefined,herb,flavor_db,92139,,
CC(O)CCOCCC(C)O,bitter,bitter,flavor_db,92141,,
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)CP(=O)(O)O)C(O)C1O,sweet,sweet-like,flavor_db,92199,,
C=C1C2CCC(C2)C1(C)C,undefined,"fir, herbal, fresh, woody, camphor",flavor_db,92221,,
COC1OC(CO)C(O)C(O)C1O,sweet,sweet,flavor_db,92257,,
COC1OC(CO)C(O)C(O)C1O,sweet,sweet,flavor_db,92333,,
O=CNC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,sweet,sweet,flavor_db,92472,,
CC(C)C1C=CC(=O)CC1,undefined,"spice, herbal, caraway, woody, cumin",flavor_db,92780,,
O=C1CC(c2ccc(O)cc2)Oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c21,bitter,bitter,flavor_db,92794,,
CNC(C)CC1CCCC1.Cl,bitter,bitter,flavor_db,92798,,
OCC1OC(OC2C(O)C(CO)OC2(CO)OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,sweet,sweet,flavor_db,92817,,
CC(C)CC(NC(=O)CN)C(=O)O,bitter,bitter,flavor_db,92843,,
NC(CS)C(=O)O,sweet,sweet,flavor_db,92851,,
CC(CN(C)C)C(C)(O)Cc1ccc(Cl)cc1.Cl,bitter,bitter,flavor_db,92876,,
CC(CN1CCOCC1)C(C(=O)N1CCCC1)(c1ccccc1)c1ccccc1.O=C(O)C(O)C(O)C(=O)O,bitter,bitter,flavor_db,92942,,
NCC(=O)NC(Cc1ccccc1)C(=O)O,bitter,bitter,flavor_db,92953,,
CC(=O)OCC(OC(C)=O)C(OC(C)=O)C(OC(C)=O)C(C=O)OC(C)=O,bitter,bitter,flavor_db,92972,,
CCC12CCCN(CCc3c([nH]c4ccccc34)CC1)C2,bitter,bitter,flavor_db,92990,,
CC(=O)C1CC=C(C)CC1,undefined,spice,flavor_db,93019,,
CC1OCC2OC(O)C(O)C(O)C2O1,sweet,sweet,flavor_db,93075,,
NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,sweet,sweet,flavor_db,93078,,
C=C1CCC23C(C)CCC(C(C)C)C2C13,undefined,"fruity, citrus, fruit",flavor_db,93081,,
CCC1=C(O)C(=O)C(C)O1,sweet,"bready, brown, caramel, burnt, cotton candy, sweet, sugar, maple",flavor_db,93111,,
CC(C)=CCCC1=CCC(C=O)CC1,undefined,"citrus, floral, aldehydic, marine, greasy",flavor_db,93199,,
CSCSSC,undefined,"strong, onion, sulfurous",flavor_db,93236,,
CSCCCCC#N,undefined,"cabbage, broccoli",flavor_db,93320,,
CC(O)C(O)C(O)C(O)C=O,sweet,sweet,flavor_db,93579,,
CCCCc1ncsc1C,undefined,"bell, pepper, green",flavor_db,93596,,
OCC1OC(OCC2OC(O)(CO)C(O)C2O)C(O)C(O)C1O,sweet,sweet,flavor_db,93971,,
C=C(C)C(CO)CC=C(C)C,undefined,"herbal, herb",flavor_db,94060,,
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1OP(=O)(O)O,sweet,sweet-like,flavor_db,94136,,
OCC(O)C(O)C(O)CO,sweet,sweet,flavor_db,94154,,
CC(C)=CCCC1(C)C2CC3C(C2)C31C,undefined,woody,flavor_db,94164,,
OCC(O)C(O)C(O)C(O)COC1OC(CO)C(O)C(O)C1O,sweet,sweet,flavor_db,94169,,
CC1CCC2C1C1C(CCC2(C)O)C1(C)C,sweet,"herbal, sweet, fruity, tropical, minty, green",flavor_db,94174,,
COC1OC(CO)C(O)C(O)C1O,sweet,sweet,flavor_db,94214,,
