Canonicalized SMILES,Standardized SMILES,Canonicalized Taste,Original Labels,Source
CNC(=S)S,CNC(=S)S,sour,pKa between 2 and 7,IUPAC Dissocation Constants
CCC1CCC(=O)O1,CCC1CCC(=O)O1,sweet,"coconut, tobacco, coumarin, herbal, sweet",flavor_db
CCCCCOC1OC(CO)CC(O)C1O,CCCCCOC1OC(CO)CC(O)C1O,sweet,sweet-like,flavor_db
NC(C(=O)O)c1cccc(Cl)c1,NC(C(=O)O)c1cccc(Cl)c1,sour,pKa between 2 and 7,IUPAC Dissocation Constants
CCCCOC(=O)C1OC(OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C)CCC5(C(=O)OC5OC(CO)C(O)C(O)C5O)CCC34C)C2(C)C)C(O)C(OC(OCC(=O)OC)C(=O)O)C1O,CCCCOC(=O)C1OC(OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C)CCC5(C(=O)OC5OC(CO)C(O)C(O)C5O)CCC34C)C2(C)C)C(O)C(OC(OCC(=O)OC)C(=O)O)C1O,sweet,sweet-like,flavor_db
CCOS(=O)(=O)NCC(C)C,CCOS(=O)(=O)NCC(C)C,bitter,"Bitter, Bitterness",chemtastes_db
C1[C@H]([C@H](CC1=O)C(=O)O)C(=O)O,O=C1C[C@H](C(=O)O)[C@H](C(=O)O)C1,sour,pKa between 2 and 7,IUPAC Dissocation Constants
CC(=O)OC(C)(CCC=C(C)C)C1CCC(C)=CC1=O,CC(=O)OC(C)(CCC=C(C)C)C1CCC(C)=CC1=O,undefined,"Non-sweet, Non-sweetness",chemtastes_db
CCCCCC1OC(C)C(C)O1,CCCCCC1OC(C)C(C)O1,sweet,"fatty, sweet, green",flavor_db
CSCc1ccsc1,CSCc1ccsc1,undefined,"dairy, roasted, cooked",flavor_db
C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C2C(=O)OCCC21,C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C2C(=O)OCCC21,bitter,bitter,phytocompounds_db
O=C1OCc2ccccc21,O=C1OCc2ccccc21,sweet,"coconut, lactonic, powdery, coumarin, sweet, phenolic, tonka",flavor_db
OCC1OC(O)C(O)C(O)C1OF,OCC1OC(O)C(O)C(O)C1OF,sweet,sweet,flavor_db
CC1(C)C2CC=C(COC=O)C1C2,CC1(C)C2CC=C(COC=O)C1C2,undefined,"oily, woody, pine",flavor_db
COCC1OC(COC)(OC2OC(CO)C(O)C(O)C2OC)C(OC)C1OC,COCC1OC(COC)(OC2OC(CO)C(O)C(O)C2OC)C(OC)C1OC,sweet,sweet,flavor_db
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,bitter,"Bitter, Bitterness",chemtastes_db
OCC1OC(OC2C(O)C(CO)OC(OC3C(O)C(O)OC(CO)C3O)C2O)C(O)C(O)C1O,OCC1OC(OC2C(O)C(CO)OC(OC3C(O)C(O)OC(CO)C3O)C2O)C(O)C(O)C1O,sweet,sweet,flavor_db
COCCc1ccccc1,COCCc1ccccc1,undefined,"chrysanthemum, jasmin, rose, floral, metallic, green",flavor_db
CC1(C)OC2CC(=O)OCC23C1CC(=O)C1(C)C3CCC2(C)C(C3=CC(=O)OC3O)OC(=O)C3OC321,CC1(C)OC2CC(=O)OCC23C1CC(=O)C1(C)C3CCC2(C)C(C3=CC(=O)OC3O)OC(=O)C3OC321,bitter,bitter,phytocompounds_db
CCCCOC(=O)C1OC(OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C)CCC5(C(=O)OC5OC(CO)C(O)C(O)C5O)CCC34C)C2(C)C)C(OC2OCC(O)C(O)C2O)C(OC2OC(CO)C(O)C(O)C2O)C1O,CCCCOC(=O)C1OC(OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C)CCC5(C(=O)OC5OC(CO)C(O)C(O)C5O)CCC34C)C2(C)C)C(OC2OCC(O)C(O)C2O)C(OC2OC(CO)C(O)C(O)C2O)C1O,sweet,sweet-like,flavor_db
CC(C)=CCCC(C)c1ccc(C)cc1,CC(C)=CCCC(C)c1ccc(C)cc1,undefined,herb,flavor_db
CCCCCCCCCCOCC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C1O,CCCCCCCCCCOCC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C1O,sweet,sweet,flavor_db
CC(=O)NCC(C)C,CC(=O)NCC(C)C,bitter,"Bitter, Bitterness",chemtastes_db
OC1C2CCOC(O2)C1O,OC1C2CCOC(O2)C1O,sweet,sweet,flavor_db
CSP(=O)(OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O)OP(=O)(O)O,CSP(=O)(OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O)OP(=O)(O)O,sweet,sweet-like,flavor_db
CC=C(C)C(=O)OCCCC,CC=C(C)C(=O)OCCCC,undefined,"rose, wine, fruity, spicy",flavor_db
COCCOC1C(OP(=O)(O)O)C(CO)OC1n1cnc2c(N)ncnc21,COCCOC1C(OP(=O)(O)O)C(CO)OC1n1cnc2c(N)ncnc21,sweet,sweet-like,flavor_db
C1=C(C=C(C(=C1C=O)O)[N+](=O)[O-])[N+](=O)[O-],O=Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,sour,pKa between 2 and 7,IUPAC Dissocation Constants
COc1cc(-c2oc3cc(OC4OCC(O)C(O)C4O)cc(O)c3c(=O)c2OC2OC(CO)C(O)C(O)C2O)ccc1O,COc1cc(-c2oc3cc(OC4OCC(O)C(O)C4O)cc(O)c3c(=O)c2OC2OC(CO)C(O)C(O)C2O)ccc1O,sweet,sweet-like,flavor_db
CCCCC=O,CCCCC=O,undefined,"bready, fermented, berry, malt, pungent, fruity, nutty, almond",flavor_db
OCC1OC(OCC2OC(O)(CO)C(O)C2O)C(O)C(O)C1O,OCC1OC(OCC2OC(O)(CO)C(O)C2O)C(O)C(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db
COC1=CC=C(C=C1)CC(=O)O,COc1ccc(CC(=O)O)cc1,sour,pKa between 2 and 7,IUPAC Dissocation Constants
CC(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])O,CC(=O)Nc1ccc([N+](=O)[O-])c(O)c1,sour,pKa between 2 and 7,IUPAC Dissocation Constants
Nc1ncnc2c1nc(N)n2C1OC(COP(=O)(O)N2CCOCC2)C(O)C1O,Nc1ncnc2c1nc(N)n2C1OC(COP(=O)(O)N2CCOCC2)C(O)C1O,sweet,sweet-like,flavor_db
O=C(CO)CCC(O)CO,O=C(CO)CCC(O)CO,sweet,sweet,flavor_db
OCC1(O)OC(O)C(O)C(O)C1O,OCC1(O)OC(O)C(O)C(O)C1O,sweet,sweet-like,flavor_db
CC(O)COC1OC(CO)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1O,CC(O)COC1OC(CO)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1O,sweet,sweet-like,flavor_db
C1=CC(=CC(=C1)S)C(=O)O,O=C(O)c1cccc(S)c1,sour,pKa between 2 and 7,IUPAC Dissocation Constants
CCCCCC,CCCCCC,undefined,alkane,flavor_db
OCCCCCCCCCCCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,OCCCCCCCCCCCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,sweet,sweet,flavor_db
O=c1c(CO)c(-c2ccc(O)c(O)c2)oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12,O=c1c(CO)c(-c2ccc(O)c(O)c2)oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12,sweet,sweet-like,flavor_db
CC(=C)C1=CC=C(C=C1)C(=O)O,C=C(C)c1ccc(C(=O)O)cc1,sour,pKa between 2 and 7,IUPAC Dissocation Constants
CCc1cc2c(cc1C(C)=O)C(C)(C)CCC2(C)C,CCc1cc2c(cc1C(C)=O)C(C)(C)CCC2(C)C,undefined,musky,flavor_db
C1=CC(=CC=C1NN=NC2=C(C=C(C=C2)[N+](=O)[O-])[As](=O)(O)O)N=NC3=CC=C(C=C3)S(=O)(=O)O,O=[N+]([O-])c1ccc(N=NNc2ccc(N=Nc3ccc(S(=O)(=O)O)cc3)cc2)c([As](=O)(O)O)c1,sour,pKa between 2 and 7,IUPAC Dissocation Constants
C=CC(C)(O)CCCC(C)C,C=CC(C)(O)CCCC(C)C,undefined,"wood, citrus, woody, camphor",flavor_db
Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,sweet,fatty; sweet (low evidence),phytocompounds_db
C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(OC6OC(CO)C(O)C(O)C6O)C(O)C5OC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1OC1OC(COC2OC(CO)C(OC4OC(CO)C(O)C(O)C4O)C(O)C2OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)C3,C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(OC6OC(CO)C(O)C(O)C6O)C(O)C5OC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1OC1OC(COC2OC(CO)C(OC4OC(CO)C(O)C(O)C4O)C(O)C2OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)C3,sweet,sweet,phytocompounds_db
COc1ccc(C2CC(=O)c3c(O)cc(OC4OC(COC5OC(CO)C(O)C(O)C5O)C(O)C(O)C4O)cc3O2)cc1O,COc1ccc(C2CC(=O)c3c(O)cc(OC4OC(COC5OC(CO)C(O)C(O)C5O)C(O)C(O)C4O)cc3O2)cc1O,sweet,sweet-like,flavor_db
CC1C(=CC(=O)OCCN(C)C)CCC2C1C(=O)CC1C(C)(C)C(OC(=O)CC(C)(C)O)CCC21C,CC1C(=CC(=O)OCCN(C)C)CCC2C1C(=O)CC1C(C)(C)C(OC(=O)CC(C)(C)O)CCC21C,bitter,bitter,phytocompounds_db
O=CC(ONBr)C(O)C(O)C(O)CO,O=CC(ONBr)C(O)C(O)C(O)CO,sweet,sweet,flavor_db
CC(O)C(O)C(O)C(O)C1OC(Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,CC(O)C(O)C(O)C(O)C1OC(Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,sweet,sweet-like,flavor_db
CCCCCCC1OC(C)C(C)O1,CCCCCCC1OC(C)C(C)O1,undefined,"fruity, dairy",flavor_db
NC(CC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,NC(CC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,sweet,sweet,flavor_db
COc1cc(CC=O)ccc1O,COc1cc(CC=O)ccc1O,undefined,"floral, vanilla",flavor_db
CC(C)c1ccc(C(O)C(=O)O)cc1,CC(C)c1ccc(C(O)C(=O)O)cc1,sour,pKa between 2 and 7,IUPAC Dissocation Constants
O=C(C=Cc1ccc(O)c(O)c1)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O,O=C(C=Cc1ccc(O)c(O)c1)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O,sweet,sweet-like,flavor_db
C=C1C2CCC3(CCC4C5(C)CCCC4(C4OCCN4C5)C3C2)C1O,C=C1C2CCC3(CCC4C5(C)CCCC4(C4OCCN4C5)C3C2)C1O,bitter,bitter,phytocompounds_db
CCCCCCCCCO,CCCCCCCCCO,bitter,"Bitter, Bitterness",chemtastes_db
OCCCCOC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,OCCCCOC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,sweet,sweet-like,flavor_db
CCC(C)C(NC(=O)C(N)Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)NC(CC(N)=O)C(=O)O,CCC(C)C(NC(=O)C(N)Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)NC(CC(N)=O)C(=O)O,sweet,sweet,flavor_db
Nc1ncnc2c1ncn2C1OC(C(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,Nc1ncnc2c1ncn2C1OC(C(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,sweet,sweet-like,flavor_db
CSCCCN=C=S,CSCCCN=C=S,undefined,"horseradish, earthy, vegetable, sulfurous",flavor_db
CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC6OC(C(=O)ON)C(O)C(OC7OC(C(=O)ON)C(O)C(O)C7O)C6O)C(C)(C)C5CCC43C)C2C1,CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC6OC(C(=O)ON)C(O)C(OC7OC(C(=O)ON)C(O)C(O)C7O)C6O)C(C)(C)C5CCC43C)C2C1,sweet,sweet-like,flavor_db
C=CC(O)CCCCCCC,C=CC(O)CCCCCCC,undefined,"citrus, wine_like, vegetable, green, waxy, fatty, floral, earthy, woody, fungal, fruity, herbaceous, nutty, mushroom, meaty, spicy, cheese",flavor_db
CCCc1nc(C)cnc1C,CCCc1nc(C)cnc1C,undefined,hazelnut,flavor_db
C=C1CC23CCC4C(C)(C(=O)OC5OC(O)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC1OC(O)C(O)C(O)C1O)C3,C=C1CC23CCC4C(C)(C(=O)OC5OC(O)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC1OC(O)C(O)C(O)C1O)C3,sweet,sweet-like,flavor_db
Nc1nc(F)nc2c1ncn2C1OC(C(O)OP(=O)(O)O)C(O)C1O,Nc1nc(F)nc2c1ncn2C1OC(C(O)OP(=O)(O)O)C(O)C1O,sweet,sweet-like,flavor_db
CCC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,CCC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,bitter,bitter,phytocompounds_db
CCC(O)COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,CCC(O)COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,sweet,sweet-like,flavor_db
CC(NC(=O)C(N)CC(N)=O)C(=O)NC(C)C(=O)NC(Cc1ccccc1)C(=O)O,CC(NC(=O)C(N)CC(N)=O)C(=O)NC(C)C(=O)NC(Cc1ccccc1)C(=O)O,sweet,sweet,flavor_db
CC(C)CC(=O)O,CC(C)CC(=O)O,sour,"sour, sweat, acid, stinky, sweaty, animal, rancid, tropical, feet, cheese",flavor_db
CCC(C)C(N)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC(C)C(=O)O,CCC(C)C(N)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC(C)C(=O)O,sweet,sweet,flavor_db
NC(=O)CC(NC(=O)CNC(=O)C(N)Cc1ccccc1)C(=O)O,NC(=O)CC(NC(=O)CNC(=O)C(N)Cc1ccccc1)C(=O)O,sweet,sweet,flavor_db
COC(CO)C(OC1OC(CO)C(O)C(O)C1O)C(O)C(C)O,COC(CO)C(OC1OC(CO)C(O)C(O)C1O)C(O)C(C)O,sweet,sweet-like,flavor_db
O=c1cc(-c2ccc(O)cc2)oc2c(OC3OCC(O)C(O)C3O)c(O)c(OC3OCC(O)C(O)C3O)c(O)c12,O=c1cc(-c2ccc(O)cc2)oc2c(OC3OCC(O)C(O)C3O)c(O)c(OC3OCC(O)C(O)C3O)c(O)c12,sweet,sweet-like,flavor_db
CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6COCC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6COCC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,sweet,sweet-like,flavor_db
COC1OC(C)C(O)C(OC2OC(C)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2O)C1O,COC1OC(C)C(O)C(OC2OC(C)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2O)C1O,sweet,sweet,flavor_db
CC(=CCO)COC1OC(CO)C(O)C(OC(=O)Cc2ccc(O)c(O)c2)C1OC(=O)Cc1ccc(O)c(O)c1,CC(=CCO)COC1OC(CO)C(O)C(OC(=O)Cc2ccc(O)c(O)c2)C1OC(=O)Cc1ccc(O)c(O)c1,bitter,bitter,phytocompounds_db
CC(C)CC(N)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)NCC(=O)O,CC(C)CC(N)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)NCC(=O)O,sweet,sweet,flavor_db
CCC(C)C(NC(=O)CN)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,CCC(C)C(NC(=O)CN)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,sweet,sweet,flavor_db
COC(=O)C(Cc1ccccc1)NC(=O)CN1CCC(C(N)=O)CC1,COC(=O)C(Cc1ccccc1)NC(=O)CN1CCC(C(N)=O)CC1,sweet,sweet,flavor_db
C=C1C(=O)OC2CC3(C)CCCC(=C)C3(O)CC12,C=C1C(=O)OC2CC3(C)CCCC(=C)C3(O)CC12,bitter,bitter,phytocompounds_db
CCCCCCC(=O)OCC,CCCCCCC(=O)OCC,undefined,"pineapple, wine, fruit, plum, fruity, melon, rum, cognac",flavor_db
CC(N)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)NCC(=O)O,CC(N)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)NCC(=O)O,sweet,sweet,flavor_db
CCCCNC(=O)C(C)Nc1nc2c(ncn2C2OC(COP(=O)(O)O)C(O)C2O)c(=O)[nH]1,CCCCNC(=O)C(C)Nc1nc2c(ncn2C2OC(COP(=O)(O)O)C(O)C2O)c(=O)[nH]1,umami,"Umami, Umaminess",chemtastes_db
CCCC1COC2OC(CO)C(O)C(O)C2O1,CCCC1COC2OC(CO)C(O)C(O)C2O1,sweet,sweet,flavor_db
Cc1cnc(C)c(C)n1,Cc1cnc(C)c(C)n1,undefined,"hazelnut, roast, roasted, powdery, potato, must, musty, earthy, cocoa, peanut, nutty",flavor_db
CC1CCC2(C)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C(=O)O)C5CCC43C)C2C1C,CC1CCC2(C)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C(=O)O)C5CCC43C)C2C1C,bitter,bitter,phytocompounds_db
CCCCCC(=Cc1ccccc1)COC=O,CCCCCC(=Cc1ccccc1)COC=O,sweet,"oily, sweet, herbal, green",flavor_db
CCCC1CC(C)(OC(C)=O)CCO1,CCCC1CC(C)(OC(C)=O)CCO1,undefined,"saffron, sage, clary, herbal, floral, fruity, tea",flavor_db
C1=CC2=C(C(=C(C=C2S(=O)(=O)O)I)O)N=C1,O=S(=O)(O)c1cc(I)c(O)c2ncccc12,sour,pKa between 2 and 7,IUPAC Dissocation Constants
NCC(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,NCC(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,sweet,sweet,flavor_db
O=C1c2c(O)cc(O)cc2OC(c2ccc(OC3OC(CO)C(O)C(O)C3O)c(O)c2)C1O,O=C1c2c(O)cc(O)cc2OC(c2ccc(OC3OC(CO)C(O)C(O)C3O)c(O)c2)C1O,sweet,sweet-like,flavor_db
CC1OC(Oc2c(O)ccc3c(=O)c(O)c(-c4ccc(O)c(O)c4)oc23)C(O)C(O)C1O,CC1OC(Oc2c(O)ccc3c(=O)c(O)c(-c4ccc(O)c(O)c4)oc23)C(O)C(O)C1O,sweet,sweet-like,flavor_db
CCOc1ccc(NC(N)=O)cc1,CCOc1ccc(NC(N)=O)cc1,sweet,"Sweet, Sweetness",chemtastes_db
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,bitter,bitter,phytocompounds_db
O=C(O)CC(NC(=O)C1CCCN1)C(=O)NC(Cc1ccccc1)C(=O)O,O=C(O)CC(NC(=O)C1CCCN1)C(=O)NC(Cc1ccccc1)C(=O)O,sweet,sweet,flavor_db
O=C(Cc1ccc(O)c(O)c1)OCC1OC(OCC(=CCO)CO)C(O)C(O)C1O,O=C(Cc1ccc(O)c(O)c1)OCC1OC(OCC(=CCO)CO)C(O)C(O)C1O,bitter,bitter; acrid; pungent,phytocompounds_db
CC(NC(=O)C(N)CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCCN)C(=O)O,CC(NC(=O)C(N)CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCCN)C(=O)O,sweet,sweet,flavor_db
CC1C(=O)C23CC1CC(O)C2C12COC(O)C1C(C)(C)CCC2OC3=O,CC1C(=O)C23CC1CC(O)C2C12COC(O)C1C(C)(C)CCC2OC3=O,bitter,"Bitter, Bitterness",chemtastes_db
COc1cc(OC2OC(CO)C(O)C(O)C2O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2=O,COc1cc(OC2OC(CO)C(O)C(O)C2O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2=O,sweet,sweet-like,flavor_db
CC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,CC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,sweet,sweet,flavor_db
COc1cc(O)c2c(=O)c(OC3OC(COC4OC(C)C(O)C(O)C4O)C(O)C(O)C3O)c(-c3ccc(OC)c(O)c3)oc2c1,COc1cc(O)c2c(=O)c(OC3OC(COC4OC(C)C(O)C(O)C4O)C(O)C(O)C3O)c(-c3ccc(OC)c(O)c3)oc2c1,sweet,sweet-like,flavor_db
CC(C)C(N)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)NC(CCCCN)C(=O)O,CC(C)C(N)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)NC(CCCCN)C(=O)O,sweet,sweet,flavor_db
CC(=O)C1=CSCCN1,CC(=O)C1=CSCCN1,undefined,"nutty, roasted, cooked",flavor_db
CC1=CC(=O)NC(=C1CCO)O,Cc1cc(O)[nH]c(=O)c1CCO,sour,pKa between 2 and 7,IUPAC Dissocation Constants
CN(C)CCC=C1c2ccccc2COc2ccccc21,CN(C)CCC=C1c2ccccc2COc2ccccc21,bitter,"Bitter, Bitterness",chemtastes_db
COCC1OC(OC)C(OC)C(OC)C1OC1OC(CO)C(OC)C(O)C1O,COCC1OC(OC)C(OC)C(OC)C1OC1OC(CO)C(OC)C(O)C1O,sweet,sweet,flavor_db
Nc1ncnc2c1nc(NCCCP(=O)(O)O)n2C1OC(CO)C(O)C1O,Nc1ncnc2c1nc(NCCCP(=O)(O)O)n2C1OC(CO)C(O)C1O,sweet,sweet-like,flavor_db
C=CCN1C(=O)c2ccc([N+](=O)[O-])cc2S1(=O)=O,C=CCN1C(=O)c2ccc([N+](=O)[O-])cc2S1(=O)=O,bitter,"Slightly bitter, Bitterness",chemtastes_db
Nc1ncnc2c1ncn2C1OCC(OP(=O)(O)O)C1O,Nc1ncnc2c1ncn2C1OCC(OP(=O)(O)O)C1O,sweet,sweet-like,flavor_db
OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1O,OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1O,sweet,"Sweet(7); Intensely sweet, Sweetness",chemtastes_db
CCC(C)C(NC(=O)C(N)Cc1ccccc1)C(=O)NC(C(=O)NC(CC(N)=O)C(=O)O)C(C)C,CCC(C)C(NC(=O)C(N)Cc1ccccc1)C(=O)NC(C(=O)NC(CC(N)=O)C(=O)O)C(C)C,sweet,sweet,flavor_db
CC(C)OC1CCC(O)C(CO)O1,CC(C)OC1CCC(O)C(CO)O1,sweet,sweet-like,flavor_db
CCC(C)C(NC(=O)C(N)CC(C)C)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,CCC(C)C(NC(=O)C(N)CC(C)C)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,sweet,sweet,flavor_db
COc1cc(C=CC(=O)Nc2ccc(O)cc2C(=O)O)cc(OC)c1O,COc1cc(C=CC(=O)Nc2ccc(O)cc2C(=O)O)cc(OC)c1O,bitter,"Bitter, Bitterness",chemtastes_db
CC(NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(N)Cc1ccccc1)C(=O)O,CC(NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(N)Cc1ccccc1)C(=O)O,sweet,sweet,flavor_db
Cc1nc(O)cc(O)n1,Cc1nc(O)cc(O)n1,sour,pKa between 2 and 7,IUPAC Dissocation Constants
C1=C(C=C(C(=C1C(=O)O)O)Cl)Cl,O=C(O)c1cc(Cl)cc(Cl)c1O,sour,pKa between 2 and 7,IUPAC Dissocation Constants
COC(=O)c1ccccc1C(=O)c1ccc(OC)cc1,COC(=O)c1ccccc1C(=O)c1ccc(OC)cc1,undefined,"Tasteless, Tastelessness",chemtastes_db
O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)c(O)c(OC3OC(CO)C(O)C(O)C3O)c12,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)c(O)c(OC3OC(CO)C(O)C(O)C3O)c12,sweet,sweet-like,flavor_db
Cc1c(Cl)cc([N+](=O)[O-])c(O)c1[N+](=O)[O-],Cc1c(Cl)cc([N+](=O)[O-])c(O)c1[N+](=O)[O-],sour,pKa between 2 and 7,IUPAC Dissocation Constants
CC1OC(Oc2cc(O)c3c(=O)cc(-c4ccc(O)c(O)c4)oc3c2)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,CC1OC(Oc2cc(O)c3c(=O)cc(-c4ccc(O)c(O)c4)oc3c2)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,sweet,sweet-like,flavor_db
CCN1C(=O)c2ccccc2S1(=O)=O,CCN1C(=O)c2ccccc2S1(=O)=O,undefined,"Tasteless, Tastelessness",chemtastes_db
Nc1ncnc2c1ncn2C1CC(O)C(COP(=O)(O)OCC(N)(CO)CO)O1,Nc1ncnc2c1ncn2C1CC(O)C(COP(=O)(O)OCC(N)(CO)CO)O1,sweet,sweet-like,flavor_db
CCCOC(=O)C(C)NC(=O)C(N)CC(=O)O,CCCOC(=O)C(C)NC(=O)C(N)CC(=O)O,sweet,"Sweet, Sweetness",chemtastes_db
NC(=O)CC(NC(=O)C(CC(N)=O)NC(=O)C(N)Cc1ccccc1)C(=O)O,NC(=O)CC(NC(=O)C(CC(N)=O)NC(=O)C(N)Cc1ccccc1)C(=O)O,sweet,sweet,flavor_db
CCC(C)(C(=O)O)O,CCC(C)(O)C(=O)O,sour,pKa between 2 and 7,IUPAC Dissocation Constants
